politics	PM Ilunga asengi na CACH na FCC babongisa ba listes na bango	"Premier ministre Sylvestre Ilunga Ilunkamba asengi na mangomba CACH ya président Tshisekedi mpe FCC ya mokonzi ya kala Joseph Kabila bapesa ye ba listes misusu miye mikolanda ba critères apesaki bango. ""Premier ministre azali kolikya ete bakopesa ye lelo to lobi mosala moye kati na yango mbeba esembolami, mosalami malamu mpe mosala mondimisami na structure ya décision ya mangomba moko moko,"" ekomi Ilunga Ilunkmba na liyebisi abimisi o'mokolo ya mitano. Na liyeibisi yango, Premier ministre asemboli ete azongiselaki CACH na FCC, kaka mokolo azuwaki yango, mikanda ya ba nkombo ya baye bokoki kozala na gouvernement miye mangomba mabale maye mapesaki ye. Ezalaki le 11 août 2019. Kolanda mokambi ya misala ya communication ya Premier ministre, parité (bokokani ya basi na mibale), bilenge mpe makambo masusu mazali boko ya makambo CACH na FCC bakokisi te na mikanda ya bankombo bapesaki Premier ministre. Esengelaki gouvernement ya sika esakolama mardi, kolanda linaka ya PM, kasi esalamaki te. PM Ilunga apesaki le 7 août 2019 na CACH na FCC linaka ya botiyami ya gouvernement. CACH na FCC bapesaki PM bankombo mokolo ya eyenga le 7 août 2019."	https://www.voalingala.com/a/pm-ilunga-asengi-na-cach-na-fcc-babongisa-ba-listes-na-bango/5045307.html
health	Obama, Bush na Clinton bandimi kozwa mangwele ya COVID-19 na etando eke	"Barack Obama, George W. Bush mpe Bill Clinton bandimi kozwa mangwele ya COVID-19 o’liboso ya etando eke mpo na kopesa ndingisa na bato banso. Bakanzi ba kala ya Etats-Unis bapesaki biyano na bapanzi sango mpo na yango, moto na moto esika na ye. ""Soki Anthony Fauci (monganga mokambi ya bitumba na COVID-19 na USA) alobi na nga ete mangwele yango ezali malamu, mpe ekoki kobatela na kozwa COVID, na ntembe te, nakozwa yango,"" elobi M. Obama. Mokonzi ya mohindo ya yambo na Amerika alaki ete ntango akokii kozwa mangwele yango nsima na yango kopesama na bato bazali na likama mingi te. ""Nakoki kondima kozwa yango liboso lya etando eke to na ba bilili kaka mpo ete bato bayeba ete nazali kondimela science (to bato ya nayele) mpe likambo na nandimi ezali kozwa te COVID,"" ebakisi Obama na mituna ya radio SiriusXN. Freddy Ford, mokambi ya ndako ya mosala ya M. Bush, ye, asololaki nde na CNN. ""Yambo, mangwele etalama soki ezali malamu mpe epesama na bato bazali na bosenga mingi,"" eyanoli M. Ford. ""Na nsima, M. Bush akokende na molongo mpo na oyo ya eye, mpe akosala yango na miso ya ba caméras,"" ebakisi mosungi ya M. Bush. Molobeli ya M. Clinton ye mpe apesaki eyano ya lolenge wana na CNN. Ayebisi ete M. Clinton mpe akoki kondima kozwa yango na liboso ya bato banso na tv. Bato mingi bazali nanu na mituna mingi mpo etalil mangwele maye. Baike bazali kobanga yango mpo na ntina mingi. Mangwele masalami na Pfizer-BioNTech mpe Moderna-NIH esengeli epesama ndingisa na Etats-Unis kala mingi te. Bakambi ba maye ma boyebi to zebi balobaki o'mokolo mwa misato ete USA ezali kokanisa kopesa bato million 100 kino suka ya sanza ya mibale (févirer)."	https://www.voalingala.com/a/obama-bush-na-clinton-bandimi-kozwa-mangwele-ya-covid-19-na-etando-eke/5686185.html
sports	Ibenge na Berkane balongoli Mazembe na ½ finale ya CAF C2 na 4-2	Jean Florent Ibenge na Renaissance Berkane ya Maroc balongoli TP Mazembe ya Ekolo Congo démocratique demi-finale ya Coupe ya confédération ya CAF na kololongaka 4-1 lobi dimanche na stade municipale ya Berkane, na Maroc. Elonga ya TP Mazembe 1-0 mposo moko yambo na match aller na stade Kamalondo na Lumbashi, na Haut-Katanga, RDC, ekokaki te mpo mpo ba Corbeaux ya RDC baleka. Bilembo binso ya aller na retour bipesi bongo mingete minei mpo na RS Berkane mpe moko mpo na TP Mazembe. Match retour ekozala pete te, Mazembe elongi biso na Lbumbashi kasi biso tokoluka mpe tolonga epayi na biso na Berkane, ekebisaki coach ya RS Berkane, moyi RDC, Jean-Florent Ibenge na interview exlcuisve apesaki VOa Lingala nsima na match aller le 8 mai na engumba mokonzi ya Haut-Katanga. Na match ya lobi dimanche 15 mai 2022, Berkane ezalaki yambo na kofungola mingete na 10’ na El Helali B. kasi TP Mazembe ezongisaki na 11’ na Kizimbi P. Na mi-temps ya mibale nde, RS Berkane emonisaki makasi. TP Mazembe ekomaki kolakisa kobanga mpe kolekisa ntango. Larbi N. atiaki mongete ya mibale ya Berkane na 79’ mpe El Fahli abakisi na penalty mongete ya misato. El Fahli Y. azongaki lissusu na mngete ya minei ya Berkane. Mwape T. ya Mazembe abimisamaki na 64 mpo kozwa cartons jaunes mibale (Rouge). 	https://www.voalingala.com/a/6574445.html
health	Ba Chinois na Kinshasa mpo na kosunga na bitumba na COVID-19 ntango bakoni baki 1.102	Lipinga lya minganga mpe baye bayebi bokolongono malamu ya ekolo Chine likomi na Kinshasa mpo na kosunga misala ya bitumba na COVID-19. Bakomi na RDC ntango motango mwa bato bazwami na bokono boye bokomi 1.102. Ba experts baye bakosala na bayi mboka ekolo Congo démocratique baye bakambamaka na Dr. Jean-Jacques Muyembe. Bato baye bakomi na Kinshasa mpo na kokabola boyebi mpe makoki na bango na baye ya Kinshasa, elobi ambassadeur ya Chine na RDC, Zhu Jing. Babakisami na bamosusu baye bazalaki wuto mwa ntango na Kinshasa. Ambassade ya Chine eyebisi ete bakosala mposo mibale na Kinshasa. Bamemi mpe mwa lisungi. Bato baye kozwama na COVID-19 na RDC bakomi 1.102, kolanda bulletin ya secrétariat technique ya bitumba na bokono boye. Na Kinshasa, motango na bango mokomi 1.032. Kongo central ekomi na bango 45. Haut-Katanga etikali na bango kaka zomi. Nord-Kivu, mwambe. Sud-Kivu, minei. Ituri, 2. Kwilu, 1. COVID-19 ebandaki na Chine na mboka Wuhan wuto sanza ya novembre. Kasi bayi Chine bayebaki kokitisa motango na yango ata bato mingi bakufaki.	https://www.voalingala.com/a/ba-experts-chinois-na-kinshasa-mpo-na-kosunga-na-bitumba-na-covid-19/5416481.html
politics	Sénat eboyi kopesa nzela mpo Thambwe Mwamba asambisama	"Ba sénateurs baboyi bango banso kopesa nzela ete Thambwe Mwamba, mokambi ya suku eye la likolo ya Parlement, akenda kosambisama. Ba sénateurs batalaki na likita lya bango ya mardi bosenga ya Cour ya cassation ya kolongola immunité ya M. Thambwe mpo asambisama na lifunda ya sénatrice Bijoux Goya Kitenge. Mme Goya afundaki M. Thambwe le 4 mai nsima na mokambi ya Sénat kososola ye na miso ya bato. M. Thambwe alobaki na miso ya bato ete Mme Goya azalaki kobondela ye mpo asunga ye kozwa libonga ya questure (oyo atali makombo ya mbongo) na Sénat. Bazwanaki na miso ya batoi nsima na Mme Goya kosenga M. Thambwe kopesa rapport ya misala mya kobongisa hémicycle to ndako ya makita ya Sénat. ""Olobaki na ngai ete soki ozwi ebonga ya questeur, tokosala mbongo.. Oyaki na ndaku na ngai, mpe obengaki mbala mingi na ya komela champagne na ndaku na yo kasi na boyaki na mayele mpe limemya mpe na lobaki na yo ete, ngai Thambwe Mwamba, nazwaki ebonga ya mokambi ya Sénat mpo natika nkombo kasi mpo natondisa mabenga ma ngai te,: elobaki M. Thambwe. Mokambi ya Sénat alobaki lisusu ete lingomba na bango FCC (Front commun pour le Congo) eboyaki kopesa Mme Goya maboko mpo elobaki ete azali mwasi ya kilo te mpe ya bizaleli mabe. M. Thambwe na Mme Goya bayokanaki. M. Thambwe asengaki bolimbisi mpe apesaki ye fololo na miso mya bato banso kasi Mme Goya amemaki yango na bazuzi. Alobaki afingamaki na bomwasi bwa ye."	https://www.voalingala.com/a/s%C3%A9nat-eboyi-kopesa-nzela-mpo-thambwe-mwamba-asambisama/5436830.html
politics	Eloko te ekopekisa bozongi ya Kabila na maponami ya mokonzi na 2023 (Néhémie Mwilanya)	"Motambwisi ya Front commun pour le Congo (FCC), Néhémie Mwilanya alobi na bapanzi sango na Lubumbashi ete eloko moko te na buku likonzi ekopekisa bozongi ya Joseph Kabila, mokonzi ya kala. ""Lelo, likambo moko te na mobeko likonzi mpe na misala ya ekolo ekopekisa bozongi ya mokonzi (ya kala) Kabila to mpe ekoka kopekisa ete apesa nkombo na ye na maponami ya mokonzi ya ekolo na 2023,"" elimboli M. Mwilanya. ""Na ntango esengeli, bureau politiki mpe misala misengeli bakoloba mpo etali likambo yango. Sik’oyo, akosala mosala mwa ye ya sénateur ya seko. Akovanda na libonga na ye na Sénat,"" ebakisi mokambi eye ya kala ya misala ya mokonzi ya mboka, M. Mwilanya. Alobi yango na suka ya bokutani ya mikolo misato ya PPRD na Lubumbashi, na Haut-Katanga."	https://www.voalingala.com/a/eloko-te-ekopekisa-bozongi-ya-kabila-na-maponami-ya-mokonzi-na-2023-(n%C3%A9h%C3%A9mie-mwilanya)/5137832.html
sports	FIFA epekisi Constant Omari misala minso ya football mpo na mobu moko	Constant Omari, mokambi ya Fécofa (Fédération congolaise ya football association) apekisami misala minso ya lisano lya ndembo mpo na mobu moko. Ezali etumbu epesameli ye na bondimi na ye moko. FIFA (Fédération internationale ya Football Association) esakoli etumbu eye likolo mokonzi ya FECOFA oyo awuti kotika mosala mposo moleki. Constant Omari afundami na kozwa koleka nkoto tuku motoba na nkama minei ya ba euros (64.444 eruos) ya misolo ya boyokani ya boteki makoki ya kolakisa na télévisiion makambo maike ma CAF (Confédération africaine ya football), oyo azali vice-président na yango mpe président ya nognga moko ntango ya etumbu Ahmad Ahmad. Commission ya Ethique to misala mitala botamboli malamu ya FIFA elobi boyokani Constant Omari asali bozalaki mabe mpo na CAF.	https://www.voalingala.com/a/fifa-epekisi-constant-omari-misala-minso-ya-football-mpo-na-mobu-moko/5941127.html
sports	Ba Léopards ya RDC na ba Harambee Stars ya Kenya bakeyi 1-1 na préparation	Ba Léopards ya RDC na ba Harambee Stars basali match nul 1-1 na préparation, na Espagne, mpo na CAN 2019 eye ekobetama na Egypte mokolo ya minei mokoya. Ba Harambee Stars bazalaki bato ba yango ya kotiya mongete na ba minutes bya yambo ya lisano. Mi-temps elekaki na 1-0. Ba Léopards (Nkoyi) balamukaki na 2e mi-temps. Mingi mpenza tangu coach Florent Ibenge akotisaki Elia Meschack na esika ya Trésor Mputu, Jonathan Bolingi na eskia ya Yannick Bolasie, Britt Assombalonga na eseki ya Cédric Bakambu, Jacques Maghoma na esika ya Paul-José Mpoku mpe na suka Youssouf Mulumbu esika ya Merveille Bope. Arthur Masuaku nde azongisaki ba équipes babale na bokokani, na but moko na 89’. Nsima na kobanda na bolembu, ba Léopards balakisi ete bakoki kosala ya kokamwa na mposo moko.	https://www.voalingala.com/a/ba-l%C3%A9opards-ya-rdc-na-ba-harambee-stars-y-kenya-bakeyi-1-1-na-pr%C3%A9paration/4960536.html
business	Katumbi alongi bosambisami mpo na kozongela misala ya mines na MCK	"Moïse Katumbi abandi o’mokolo ya mercredi 21 février 2020 komilengele mpo na kozongela société minière na ye, MCK (Mining company Katanga) na Lubumabshi nsima mokano ya Cour ya cassation ya France oyo epesi ye lisusu mpifo likolo na yango na kobotola yango na Necotrans oyo etakamaki. ""Cour ya cassation ya République ya France ekati mpo na libela, ezongisela na maboko ya Moïse Katumbi mpifo na ye likolo na société MCK,"" elobi Me Mumba Gama, moko na ba avocats ya mokambi oyo ya kala ya etuka ya kala ya Katanga. Kolanda mosambeli ya M. Katumbi, Neoctrans epesaki kaka 20 millions ya ba dollars na esika ya kofuta 140 millions ya ba dollars ya motuya ya MCK. Mpo na Me Mumba, Necotrans epesaki na moyibi makoki ya MCK na Octavia, société ya moyi mombongo ya ekolo France Pascal Beveraggi. "	https://www.voalingala.com/a/katumbi-alongi-bosambisami-mpo-na-kozongela-misala-ya-mines-na-lubumbashi/5285530.html
health	Bato 219 bakufi na Méningite ezali kongala na Banalia, na Tshopo (OMS)	"Bato nkama moko na tuku mibale na libwa bakufi na bokono bwa Méningite bozali kongala na Banalia, na kilometele nkama moko na tuku mibale na mitano ya engumba Kisangani, na etuka ya Tshopo, esakoli mbumalatari ya Ekolo Congo démocratique mpe OMS. Misala mya Bokologono na Molongo milobi ete bato nkama mibale na tuku motoba na moko bakanisami kozwa yango. Bokufi na bato bozali nde na 50%. Test esalami na Paris emonisi bilembo ya Neissaria meningitidis, moko na ba bactéries epesaka méningite. Mokambi ya OMS na Afrika, ""Matshidiso Moeti, alobi ete esengeli kosala na lombango mpe kosunga mbulamatari ya RDC na kobundisa bokono boye"". Bokono bwa Méningite bondimami nsima na bilembo bitandamaki na Institut Pasteur na Paris na France bimonisi ete ezali yango. Misala mya kobunisa yango mitiami na Banalia mpe na Kisangani."	https://www.voalingala.com/a/bato-219-bakufi-na-m%C3%A9ningite-ezali-kongala-na-banalia-na-tshopo-(oms)/6217465.html
